date,year,month,cases,mean_rain,max_rain,year_from_last_epidemic
2016-12-01,2016,12,3884,11.3598792062123,302.4,1
2017-01-01,2017,1,3412,12.9547700754976,615.6,2
2017-02-01,2017,2,2465,2.11878787878788,73.8,2
2017-03-01,2017,3,2152,7.24392156862745,114.1,2
2017-04-01,2017,4,2133,7.36636245110821,187.5,2
2017-05-01,2017,5,3739,14.1009508061182,248.9,2
2017-06-01,2017,6,7233,10.0056045895852,137.4,2
2017-07-01,2017,7,8539,12.2290405904059,193.0,2
2017-08-01,2017,8,7678,11.9061369000787,132.5,2
2017-09-01,2017,9,5127,11.3930127414714,192.6,2
2017-10-01,2017,10,4154,11.2423023578363,190.3,2
2017-11-01,2017,11,4100,7.48146588037068,264.9,2
2017-12-01,2017,12,2457,6.49723756906077,250.3,2
2018-01-01,2018,1,2240,6.02785016286645,174.8,3
2018-02-01,2018,2,1991,4.01517027863777,102.2,3
2018-03-01,2018,3,2599,5.0624895572264,99.6,3
2018-04-01,2018,4,3100,9.7501756440281,123.2,3
2018-05-01,2018,5,7293,10.0067180145486,125.3,3
2018-06-01,2018,6,13635,9.35313174946004,209.8,3
2018-07-01,2018,7,14114,10.4209409949865,272.4,3
2018-08-01,2018,8,12408,9.05508170585891,158.3,3
2018-09-01,2018,9,9042,11.1853785900783,226.5,3
2018-10-01,2018,10,7527,10.1901881037112,129.5,3
2018-11-01,2018,11,7246,7.12689804772234,261.6,3
2018-12-01,2018,12,5725,7.67051094890511,211.5,3
